,_id,review,translations,score,university,course,upvotes,downvotes,date,courseName,courseNameShort,translation
0,5a5e48e1669270001a255a05,HSG too good for this,HSG zu gut dafür,1,UZH,50044544,4.0,41.0,1548419537136,Corporate Finance (L+E),Corporate Finance,HSG zu gut dafür
1,5a5e4c87669270001a255a9e,Winkelmann = Ehrenmann,Winkelmann = Ehrenmann,5,UZH,50047387,1.0,0.0,1608566977197,Einführung in die empirische Wirtschaftsforschung (V+Ü) (Introductory Econometrics),Einführung in die empirische Wirtschaftsforschung,Winkelmann = Ehrenmann
3,5a5e5127be6796001a9d7324,Great Prof.! Best one so far. Easy to get good grades if you do all the exercises he suggests. Just practice enough. ,"Große Prof.! Beste bis jetzt. Einfach gute Noten zu bekommen, wenn Sie alle Übungen, die er vorschlägt. Einfach genug üben.",5,UZH,50772226,0.0,1.0,1632840742122,CHE 203 Organic Chemistry I,Organic Chemistry I,"Große Prof.! Beste bis jetzt. Einfach gute Noten zu bekommen, wenn Sie alle Übungen, die er vorschlägt. Einfach genug üben."
4,5a5e5161be6796001a9d7337,The AC part is great but OC is trying to pack too much stuff into too little time. The exam was nothing like the exercises and too hard considering the chances students had to prepare.,"Der AC-Teil ist toll, aber OC versucht, zu viel Zeug in zu wenig Zeit zu packen. Die Prüfung war nichts wie die Übungen und zu hart, wenn man bedenkt, die Chancen, die Schüler vorbereiten mussten.",2,UZH,50740660,0.0,1.0,1626375246178,"CHE 102 Fundamentals of Chemistry, Part 2","Fundamentals of Chemistry, Part 2","Der AC-Teil ist toll, aber OC versucht, zu viel Zeug in zu wenig Zeit zu packen. Die Prüfung war nichts wie die Übungen und zu hart, wenn man bedenkt, die Chancen, die Schüler vorbereiten mussten."
5,5a5ee197be6796001a9d7e30,would not recommend,würde nicht empfehlen,1,UZH,50019261,0.0,1.0,1656065984495,CHE 323 Reaction Mechanisms and Kinetics,Reaction Mechanisms and Kinetics,würde nicht empfehlen
6,5a5eea11be6796001a9d7eb7,Coooool,"mit einem Gehalt an Milchfett von mehr als 30 GHT, bezogen auf die Trockenmasse",4,UZH,50774348,0.0,1.0,1655489455491,UWW 122 Scientific Methods,Scientific Methods,"mit einem Gehalt an Milchfett von mehr als 30 GHT, bezogen auf die Trockenmasse"
7,5a5eed47be6796001a9d7f43,"Super interesting lecture. Sadly, the professor that taught the paleontology part was extreme unorganized. Time management wa","Super interessante Vorlesung. Leider war der Professor, der die Paläontologie Teil lehrte extrem unorganisiert. Zeitmanagement wa",3,UZH,50026110,0.0,0.0,1615295070145,MAT 182 Analysis for Natural Sciences,Analysis for Natural Sciences,"Super interessante Vorlesung. Leider war der Professor, der die Paläontologie Teil lehrte extrem unorganisiert. Zeitmanagement wa"
8,5a5ef32bbe6796001a9d8031,"Very interesting. And no, the exam did not contain too detailed questions. I had a look at the slides the night before and got a 5. If you listen carefully during the lecture, you dont have to invest much time in studying. ","Sehr interessant. Und nein, die Prüfung enthielt keine zu detaillierten Fragen. Ich hatte einen Blick auf die Dias am Abend zuvor und bekam eine 5. Wenn Sie während der Vorlesung genau zuhören, müssen Sie nicht viel Zeit in das Studium investieren.",5,UZH,50029259,1.0,0.0,1642401566405,BIO 333 Comparative Physiology and Pharmacology of Sleep,Comparative Physiology and Pharmacology of Sleep,"Sehr interessant. Und nein, die Prüfung enthielt keine zu detaillierten Fragen. Ich hatte einen Blick auf die Dias am Abend zuvor und bekam eine 5. Wenn Sie während der Vorlesung genau zuhören, müssen Sie nicht viel Zeit in das Studium investieren."
9,5a5ef6efbe6796001a9d80f6,"Best professor, she tries her best to let you understand the course, very responsible , very interactive. Never regret to take her course!","Best Professor, sie versucht ihr Bestes, damit Sie den Kurs verstehen, sehr verantwortlich, sehr interaktiv. Nie bereuen, ihren Kurs zu nehmen!",5,UZH,50819750,0.0,0.0,1593175821228,Introduction to Operations Research: Stochastic Models (L+E),Introduction to Operations Research,"Best Professor, sie versucht ihr Bestes, damit Sie den Kurs verstehen, sehr verantwortlich, sehr interaktiv. Nie bereuen, ihren Kurs zu nehmen!"
10,5a5ef7b5be6796001a9d8125,"Absolutely horrible. One of the professors is completely inconprehensible, and I'm a native English speaker. The exam was stupidly trivial and long. Do not take this class unless you enjoy getting frustrated for the entire semester.","Absolut schrecklich. Einer der Professoren ist völlig unannehmbar, und ich bin ein englischer Muttersprachler. Die Prüfung war dumm trivial und lang. Nehmen Sie diesen Kurs nicht, es sei denn, Sie genießen frustriert für das ganze Semester.",1,UZH,50544743,1.0,0.0,1550712069879,Public Debt Management (L),Public Debt Management,"Absolut schrecklich. Einer der Professoren ist völlig unannehmbar, und ich bin ein englischer Muttersprachler. Die Prüfung war dumm trivial und lang. Nehmen Sie diesen Kurs nicht, es sei denn, Sie genießen frustriert für das ganze Semester."
