,_id,review,score,upvotes,downvotes,sum
2347,61e0642e1875bb0021077478,"Alles irreführend mit diesem Kurs: Prüfungsrelevante Inhalte, Prüfungsfragen, Aufsicht oder keine Aufsicht, Dias und vieles mehr!",1,0.0,0.0,0
657,5a7a02c0a728da001a495b6d,leider ist die prüfung praktisch nur glückssache... schlechtes modul mit herzloser dozentin! ,1,10.0,0.0,3
2276,5c4f5424ab563b001c4c9dc0,"Spannend, besonders die Übung. Gute Übersicht und Anwendung der Methoden. Prüfung im HS18 sehr fair:  nicht mit fokus auf formalitäten, sondern verständnis der methoden",5,2.0,1.0,1
2886,5cebb24134340d001c00aaca,Die Prüfung hat praktisch nichts mit den Übungen zu tun gehabt. Das ganze ist eine Sauerei.,1,2.0,11.0,0
5361,602f806917f7150022fa2861,"Labs sehr zeitintensiv, Tutoren sind jedoch sehr hilfsbereit. Vorlesungen sehr spannend. Bei Prüfung ziemlich wenig Zeit, war jedoch meiner Meinung nach machbar.",4,0.0,0.0,0
2161,5c482f62d5cd47001cbdad9c,Vorlesung sehr trocken und teilweise die schwierigen sachen überhaupt nicht gut erklärt. Prüfung sehr fair! (HS 18),3,0.0,0.0,0
4012,5dfe01c77c9ec5001e362b27,"sehr kompetente Dozentin und spannendes Fach mit einigen neuen Ansätzen, die man in PuK sonst nicht so kennt",5,3.0,0.0,1
2414,61f02064e5e2d1002105efb6,"Es ist mein Rat, diesen Kurs nicht zu nehmen. Die Prüfung unterscheidet sich sehr von dem, was im Unterricht gelehrt wurde. Im Unterricht wurde nur Theorie diskutiert. Keine Bewerbungen überhaupt berührt wurde. Allerdings war die Prüfung meist rechnerisch. Der Kursinhalt ist interessant, aber nicht mit der Prüfung verbunden.",1,0.0,0.0,0
3432,5d19c8a020ec37001cbdedc9,An sich ein sehr spannendes Modul mit coolen Dozenten. Sehr viel Stoff für die Prüfung. Prüfung selber war ca. 10Fragen SC und der Rest (ca. 40Fragen).Praktika werden auch abgefragt.,4,3.0,0.0,1
3700,5d5ee44a8cacc5001cbdea51,"An sich wäre die Thematik wichtig für die NaWi. Aber Mutschler hatte ein Skript wie aus dem letzten Jahrhundert, seine Diskussionen basierten auf “Deine Frage ist falsch” und danach war er traurig, dass niemand mit ihm diskutieren will.  Unter Philosophie stelle ich mir eine angeregte Diskussion mit offenen Fragen vor und nicht dem Auswendiglernen der Meinung des Dozenten für eine MC-Prüfung. ",1,5.0,0.0,2
925,5ae87307e49793001a51925c,90% Nutzlose Konzepte  10% nützliches programmieren 100% zu viele UZH hobby informatiker,1,14.0,4.0,3
6312,629ce5ea7f099b002124b37f,"Wegen einem halben Punkt nicht bestanden… Oft gibt es keine Teilpunkte, wird auf jedes Detail geachtet…",1,0.0,0.0,0
