,Unnamed: 0,_id,review,score,upvotes,downvotes,sum
6270,6270,6290dd814107230021843357,"Der Kurs ist ziemlich interessant und sehr umfangreich. Trotzdem erhält man auch ein gutes Verständnis von so manchen Details. Da meistens Gastredner einen Vortrag haben, bauen die einzelnen Module nur wenig aufeinander auf und die Prüfungsaufgaben folgen auch keinem roten Faden.",4,0.0,0.0,0
8304,1662,5f043e2919c9e50022f079e8,"Spannender Kurs, sehr guter Professor, leichte Prüfung.",5,0.0,0.0,0
3450,3450,5d1a59c120ec37001cbeaa37,"zwar interessantes fach, vorlesung aber etwas enttäuschend, dozentin wirkt nur begrenzt kompetent, zumindest in gewissen bereichen. würde es jedoch trotzdem wieder nehmen",3,3.0,0.0,2
4242,4242,5e29411dc2ad270022b09f30,"Sinnvolles Seminar, da man noch etwas für nachfolgende Studenten tun kann, damit sie Mathe besser verstehen. Aber zu wenige Vorgaben, was genau gefordert wird bzgl Zeitaufwand für Studenten oder die zu verwendenden Tools.",3,0.0,0.0,0
968,968,5b06c3c317dedf001a97fba0,ziemlich aufwändig.  Eine Masterarbeit bei Prof Natter ist überhaupt nicht zu empfehlen. Man wird grösstenteils sich selber überlassen und auf Betreuung hofft man vergeblich. Zusätzlich werden Emails oft ignoriert und man erhält keine Antwort.,3,1.0,3.0,0
4955,4955,5f69e41b0815aa00225ad100,beide profs der hammer,5,0.0,0.0,0
360,360,5a65f3de6e7c4f001abb826f,"Interessant, faire Prüfung.",5,0.0,0.0,0
9214,2572,627bc52dffda0600212cf2da,"Dieser Kurs ist machbar. Auch wenn das Thema vielleicht nicht von Ihrem Interesse ist, ist der Professor sehr leidenschaftlich, die Prüfung ist fair und der Schwerpunkt liegt auf Übungen.",4,0.0,0.0,0
5137,5137,5ffebff0977a2300223eb14e,"Für Programmierunerfahrene ist es hart, aber mit angemessenem Aufwand und ein wenig Grips durchaus möglich, mitzuhalten und am Ende gute Noten zu erhalten. ",5,0.0,0.0,0
349,349,5a65c7a86e7c4f001abb6dd9,"der Dozent schafft es, aus diesem wichtigen Fach mit so hohem Aktualitätsbezug  eine langweilige 90 Minuten Pflicht zu machen. Ausserdem kommt er fast nie zum Punkt, stottert mehr, als er sagt und wenn man dann eine Frage hat, kann er sie nicht beantworten, obwohl sie sich auf grundlegende Schemata bezieht. Das war wirklich schlimm! ",1,1.0,1.0,0
6899,257,5a96a1ab134658001a42a109,Nur eh bissel lesen & einfache Note,5,0.0,2.0,0
9150,2508,6204cc143294fe0021ebea15,Vier Sterne für den Professor Enthusiasmus und Einsicht Ein Stern für TA unfähig zu guter Lehre,3,0.0,0.0,0
4880,4880,5f12b8b52c038800227f4e40,"Sehr interessant, faire prüfung",5,0.0,0.0,0
8308,1666,5f0578e2b824250022a5d18b,Sehr guter Einführungskurs. Die Prüfung ist einfacher als die Übungen.,5,0.0,0.0,0
6515,6515,62cc1991bdc0e10021f7dc2e,"D Graphike sind teils ade Prüefig cho, drum lerne wie mo diä richtig liest/ interpretiert. De Teil Manser isch no spannend, wenn mo sich druff iloht. De Teil Lindholm isch recht müehsam und langwilig, vor allem well sie nöd würkli guet präsentiere chan und gfühlt all 5 Minute es Kahoot macht. Bi de Manser helfed d Stichwort am End vo de Präsentation no zum chli usefinde, was wichtig sii chönt ade Prüefig. Allefalls es Englischwörterbuech mitneh (au wenn me guet Englisch chan), well de Lindholm ihren Prüefigsteil extrem komplex gschriebe isch und teils neui Fremdwörter enthaltet.",2,0.0,0.0,0
