,Unnamed: 0,_id,review,score,upvotes,downvotes,sum
1893,1893,5c34e1c593ac7c001ca22f47,Sehr gute Vorlesung - sehr unfaire Prüfung....,3,11.0,2.0,1
2671,2671,5c7286039dee23001cb80f9a,Spannende Übungen ,3,0.0,0.0,0
4452,4452,5e4e7ef59bf9ec002232bf9a,"Toller Professor, sehr organisiert. Für Solche, die im Gymnasium schon Buchhaltung hatten, sehr einfach, die ersten paar Wochen unnötig. ",5,0.0,0.0,0
1141,1141,5b26616990d2fa001a7c3dd9,"Spannende Module, teils hervorragende Dozenten, die Prüfung hat es aber wirklich in sich. Es wird viel Detailwissen verlangt und der Stoff muss wirklich gut sitzen, da der Zeitdruck während der Prüfung sehr hoch ist.   Also unbedingt früh genug mit dem Repetieren anfangen und nicht allzu viel Mut zur Lücke zeigen, da teilweise wie erwähnt Detailwissen abgefragt wird.",5,12.0,3.0,1
442,442,5a69128b1053f0001a84ec1b,"Auswenidig lernen! Wichtig, Keine MC Fragen also müssen Antworten sitzen. Ansonsten einfachste Prüfung meines Lebens! Hat ne Super ZSMF auf Uniboard mit Erklärungen zu den Folien aus der Zusatzliteratur, welche auch an der Prüfung kommen",5,6.0,1.0,1
3955,3955,5dfa090296d0e2001e001a5f,"Doch nicht ganz so chillig, aber noch interessant",4,8.0,0.0,1
589,589,5a72e2b8abd5e2001a8c306b,"Ohne Prüfungsbeispiele ist es schwer, mit dem Lernen irgendwohin zu kommen... ",2,5.0,1.0,1
2697,2697,5c782bb30e3437001c5e28f1,"Die Prüfung ist das allerletzte. Man kann sie effektiv nicht lösen in 60min. Wer hier viel lernt, wird bestraft, da man im Test überhaupt nicht zeigen kann, was man kann. Schade kann man nicht 0 Sterne geben.  ",1,6.0,3.0,1
6933,291,5ad62ac289d5eb001a1c6e1d,Langeweile,1,1.0,1.0,0
1426,1426,5b55cc4eba22db001a56dcb6,Abwechslungsreich und spannend gestaltet ,5,0.0,0.0,0
3836,3836,5db7fbffa38410001c191eeb,Geschenkte ECTS,4,0.0,0.0,0
7468,826,5c627f959e7208001cfd1242,"Nicht das interessanteste Modul, aber: - einfache Credits im Vergleich zu anderen ifi-Modulen (war nur in der Übungsklasse) - nicht schwer, die Prüfung zu bestehen Wenn Sie nur einfache Credits wollen: gehen Sie dafür Wenn Sie etwas lernen wollen: überspringen",3,1.0,0.0,1
4621,4621,5ed9fd925a89800022eb530a,totales chaos überhaupt keine Organisation,1,0.0,0.0,0
784,784,5a8af4a9d93d4f001a398bcd,"Prof. Böhlen unterrichtet sehr sympathisch und geht offen auf Fragen ein. Auch der Inhalt der Vorlesung bringt einen Studenten praktisch, wie auch theoretisch in diesem Gebiet weiter.",5,0.0,0.0,0
6305,6305,6299e7b0c75dcc0021a3ae07,"für prüefig esch vorallem wechtig d üebige alli z löse und au z verstah! am beschte mitere art kochrezwpt lehre, d abläuf kenne und au d formle chöne umforme & awende. d prüefig esch fair gsi vorallem au well chasch hin & här switche zwüsche de ufgabe, d zit längt eigentli au guet wenn mer ned anere ufgab zlang dra hockt, denne lieber zerscht ehn anderi mache ",4,0.0,0.0,0
4606,4606,5ed79ace551d470022b07822,zum vorbereite super müehsam. 2ti hälfti vo de vorlesig sind nur prüefigsrelevanti gastvorträg wo folie überfülled und mer kei ahnig het wie fest is detail mer das muess könne. und i de vorlesig selber hends au selber slides übersprunge und erklärige. mueni jetzt au state automatas à la FoC2 zeichne chöne und intersecte? who knows...,1,0.0,0.0,0
164,164,5a609d42e9399e001ac53c87,"leistigsnachwiis isch nur de vortrag, d vorlesige sind darum recht unnötig. zum teil aber recht intressant, zum teil leider au seehr langwilig und wiederholig",4,1.0,0.0,1
506,506,5a6dbfdee5f761001a0fdaf9,"Interessant, leichte Credits ",5,1.0,0.0,1
2263,2263,5c4ead5bdd45db001c85eee0,"Spannendes Fach - man merkt, dass sich Oesch viel mühe bei der Vorbereitung der VL gegeben hat. Prüfung easy stressig - aber machbar.",5,7.0,1.0,1
7419,777,5c535bc1414588001c3aef32,"Wenn Sie keine Erfahrung in der Programmierung haben, werden Sie kämpfen * eine Menge*. Wenn Sie tun, obwohl dieser Kurs wird ganz einfach sein. Es ist schön, dass die Zuweisungen und die Midterm zusammen erhalten Sie eine zusätzliche 0,5 Grad (wenn Sie beide passieren). Meine Hauptbeschwerde über diesen Kurs ist, dass die Dias und Übung Vorlesungen sind nutzlos af. Was ich tat, war nur einige YouTube-Vids von einem Kerl namens Corey Schäfer. Er deckt ziemlich viel zwei Vorträge in einer halben Stunde. Good Luck",3,20.0,0.0,1
4441,4441,5e4be277b2b1e400224bdf51,Einfaches und interessantes GESS-Wahlfach. Sehr empfehlenswert.,5,0.0,0.0,0
887,887,5ab3a05f9bbddd001ada1b3a,Herr Yang ist unterhaltsam. Einfache Art um 3 Punkte zu erhalten.,4,0.0,0.0,0
